id,name,neighborhood_overview,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
573641,Design Apartment Near The Center!,,2822632,Ariane,f,3,3,t,f,,Hoogte,51.18187,4.39381,Entire apartment,Entire home/apt,2,,1 bath,1,1,"[""Free parking on premises"", ""Hot tub"", ""Dishes and silverware"", ""Kitchen"", ""Heating"", ""Hot water"", ""Wifi"", ""Refrigerator"", ""Cooking basics"", ""Essentials""]",$98.00 ,3,90,3,3,90,90,3,90,t,0,0,0,0,20,0,0,95,10,9,10,10,9,9,f,2,2,0,0,0.2
575935,"Room in Cosy Design Duplex, Antwerp","Very spacious, bright duplex apartment on the second and third floors of an old townhouse in a bustling street close to restaurants and shops. <br />Located in a green suburb of Antwerp, near the three biggest parks of the city.",1128692,Larissa,f,4,4,t,t,"Antwerp, Flemish Region, Belgium",Hoogte,51.18152,4.39463,Private room in apartment,Private room,4,,1 private bath,2,2,"[""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Indoor fireplace"", ""Heating"", ""Dishes and silverware"", ""Bathtub"", ""Long term stays allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""Wifi"", ""Washer"", ""Stove"", ""Free street parking"", ""Hot water"", ""Oven"", ""Iron"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Patio or balcony"", ""Dedicated workspace""]",$69.00 ,2,200,2,2,1125,1125,2,1125,t,14,17,17,17,36,2,0,96,10,10,10,10,10,9,f,1,0,1,0,0.35
603545,*Perfect* for a Longer Stay | Trendy | City center,"Excellent location. There are plenty of great restaurants and coffee bars within walking distance. Ask me for tips or check out my Airbnb Guidebook: https://www.airbnb.com/rooms/603545?preview#maps.<br /><br />If you have a car: you can reach the freeway to Brussels (E19 and A12) in 5 minutes. Street parking is easy to find and is free from 19:00pm till 9:00am, on Sundays and Public Holidays. There is a cheap underground public parking (Vinci Parking Nationale Bank) within 50 meters, open 24/7.<br /><br />These are the rates (for 2020):<br />1h: €2,40 <br />2h: €5,00<br />3h: €7,30<br />4h: €9,60<br />5h: €11,90<br />24h: €13,40<br />This is the TOTAL price. So for example if you park 2 hours, you'll pay €5. If you park anywhere between 5 and 24 hours the rate is €13,40. This parking is subsidized by the city, that's why the rate is affordable.<br /><br />Across the street, you'll find:<br />- Pharmacy<br />- Pizza Hut take away<br />- affordable but good restaurants (e.g. Continu Food",2987880,Serge,f,1,1,t,t,"Antwerp, Flanders, Belgium",Harmonie,51.20753,4.40589,Entire loft,Entire home/apt,2,,1 bath,1,1,"[""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""TV"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""Wifi"", ""Washer"", ""Smoke alarm"", ""Stove"", ""Elevator"", ""Free street parking"", ""Hot water"", ""Oven"", ""Carbon monoxide alarm"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Lockbox"", ""Coffee maker"", ""Cooking basics"", ""Patio or balcony"", ""Dedicated workspace""]",$150.00 ,2,365,2,2,1125,1125,2,1125,t,1,1,1,1,22,4,0,95,10,10,10,10,10,9,f,1,1,0,0,0.22
636664,"sunny rooftop apartment, sleeps 2-5","It is a mixed cultural neighborhood.   A lot of young people moved in, providing a new vibe. New restaurants, cafes, shops pop up all the time.<br />So they call the neighborhood BOHO.<br />There is a beautiful art deco cinema turned into a cultural centre a bit further.  Check the program of 'De Roma' for concerts, films etc.<br /><br />On the ground floor of the apartment building is a handy small supermarket.  Other shops like fresh bakery, butcher, fish are around the corner on the Turnhoutsebaan.<br /><br />On Friday morning you will find local produce at the vegetable and fruit market at the church of Laar (which you can see from the terrace).<br /><br />Hop on tram 10 or go for a walk to Zurenborg neighborhood with its famous Cogels-Osylei dotted with dazzling art deco houses.",462975,Els,f,1,1,t,t,"Antwerp, Flemish Region, Belgium",Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire apartment,Entire home/apt,5,,1 bath,2,3,"[""Kitchen"", ""Shampoo"", ""Refrigerator"", ""Pack \u2019n Play/travel crib"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Children\u2019s books and toys"", ""TV"", ""Heating"", ""Microwave"", ""Dishes and silverware"", ""Bathtub"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Wifi"", ""Washer"", ""Stove"", ""Elevator"", ""Hot water"", ""Oven"", ""Bed linens"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Crib"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee maker"", ""Cable TV"", ""Children\u2019s dinnerware"", ""Baby bath"", ""Cooking basics"", ""Patio or balcony"", ""Smoke alarm""]",$85.00 ,2,365,2,2,365,365,2,365,t,30,60,90,365,81,2,0,88,9,9,10,10,9,9,f,1,1,0,0,0.8
639013,The chill place in Antwerp 1,"The neighboorhood is an upcoming area wth soem nice coffebars ans small restaurants.<br />Nearby is also the concerthall Trixt, the Roma and Sportpaleis. There are lots of nice concerts.",3189018,Cathy,f,3,3,t,t,"Antwerp, Flemish Region, Belgium",Borgerhout Intra Muros Noord,51.21748,4.4456,Private room in townhouse,Private room,2,,1.5 shared baths,1,1,"[""Dishes and silverware"", ""Shampoo"", ""Refrigerator"", ""Stove"", ""Fire extinguisher"", ""Coffee maker"", ""Oven"", ""Lock on bedroom door"", ""Dishwasher"", ""Garden or backyard"", ""Hangers"", ""Essentials"", ""Microwave"", ""Iron"", ""Paid parking on premises"", ""Cooking basics"", ""Smoke alarm"", ""Heating"", ""Wifi""]",$85.00 ,2,4,2,2,4,4,2,4,t,29,59,89,364,34,0,0,93,9,9,10,10,8,8,f,3,1,2,0,0.33
685049,Stylish decorated  room in 'art nouveau house',,3493319,Glenn,f,2,2,t,t,,Oud - Berchem,51.19589,4.41443,Private room in house,Private room,3,,1 bath,1,1,"[""Shampoo"", ""Smoke alarm"", ""First aid kit"", ""Fire extinguisher"", ""Hangers"", ""Cable TV"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Heating"", ""Wifi""]",$65.00 ,2,21,2,2,21,21,2,21,t,29,59,89,364,5,1,0,93,10,9,10,9,9,9,f,1,0,1,0,0.06
723033,Spacy family studio in Antwerp City,"Jewish quarter of the city , nearby the city park with great children play ground, jogging track. Nice quiet and save area of the city, close to the centre an easy accessible by train, car or public transport.",3734348,Sylvia,t,0,0,t,t,"Antwerp, Flemish Region, Belgium",Stadspark,51.20955,4.41481,Entire apartment,Entire home/apt,6,,1 bath,1,6,"[""Kitchen"", ""Shampoo"", ""Refrigerator"", ""Pack \u2019n Play/travel crib"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Children\u2019s books and toys"", ""TV"", ""Heating"", ""Dishes and silverware"", ""High chair"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Wifi"", ""Stove"", ""Hot water"", ""Oven"", ""Bed linens"", ""Carbon monoxide alarm"", ""Paid parking on premises"", ""Hair dryer"", ""Pocket wifi"", ""Paid parking off premises"", ""Crib"", ""Dedicated workspace"", ""Coffee maker"", ""Cable TV"", ""Cooking basics"", ""Patio or balcony"", ""Smoke alarm""]",$63.00 ,2,30,2,2,30,30,2,30,t,0,0,0,59,237,3,0,91,10,10,10,10,10,10,f,1,1,0,0,2.38
772842,Stay in a designers place & donate,,4050173,Daisy,f,1,1,t,t,,Linkeroever,51.21775,4.38434,Entire loft,Entire home/apt,2,,1 bath,1,1,"[""Kitchen"", ""Shampoo"", ""Refrigerator"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""TV"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Bathtub"", ""Long term stays allowed"", ""Wifi"", ""Washer"", ""Free street parking"", ""Hot water"", ""Oven"", ""Bed linens"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Cleaning before checkout"", ""Coffee maker"", ""Cooking basics"", ""Patio or balcony"", ""Dedicated workspace""]",$82.00 ,7,1125,2,7,1125,1125,5.6,1125,t,1,1,1,1,66,0,0,87,9,9,9,9,9,9,f,1,1,0,0,0.68
778043,cosy & beautiful apartment Antwerp,"Nearby you find the busy Diamond District, the cosy Zurenborg Quarter, the historic city center and the trendy Zuid District.<br /><br />All this you can easily discover by foot, bike or public transport. All is very easy accessible. If you like to bike, you will find also the city bike rental 'Velo' in front of the house.",1735092,Marc & Elizabeth,f,1,1,t,t,"Antwerp, Flemish Region, Belgium",Stadspark,51.20399,4.41249,Entire apartment,Entire home/apt,2,,1.5 baths,2,3,"[""Kitchen"", ""Refrigerator"", ""Shampoo"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Host greets you"", ""TV"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Elevator"", ""Free street parking"", ""Hot water"", ""Bed linens"", ""Carbon monoxide alarm"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Private entrance"", ""Coffee maker"", ""Cable TV"", ""Cooking basics"", ""Dedicated workspace""]",$76.00 ,2,14,2,2,1125,1125,2,1125,t,29,59,89,362,62,1,0,92,9,9,10,10,9,9,f,1,1,0,0,0.64
789555,#�NOMBRE?,"+++ Everything is nearby : bakery on the corner, grocery shop down the street, supermarket around the corner, bars & restaurants at 10min. walk, ...<br />Our multi-cultural neighborhood gives you a glimps of the real Antwerp!",3185214,Annemie,t,3,3,t,t,"Antwerp, Flanders, Belgium",Centraal Station,51.2117,4.42665,Entire apartment,Entire home/apt,4,,1.5 baths,1,1,"[""Babysitter recommendations"", ""Kitchen"", ""Shampoo"", ""Refrigerator"", ""Pack \u2019n Play/travel crib"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Children\u2019s books and toys"", ""TV"", ""Heating"", ""Microwave"", ""Dishes and silverware"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Wifi"", ""Room-darkening shades"", ""Stove"", ""Hot water"", ""Oven"", ""Bed linens"", ""Iron"", ""Hair dryer"", ""Paid parking off premises"", ""Crib"", ""Dedicated workspace"", ""Lockbox"", ""Private entrance"", ""Coffee maker"", ""Cable TV"", ""Baby bath"", ""Cooking basics"", ""Patio or balcony"", ""Smoke alarm""]",$93.00 ,2,1125,2,2,1125,1125,2,1125,t,0,28,58,329,48,2,0,97,10,10,10,10,9,10,f,4,4,0,0,0.49
813969,150 m² loft (terrace & river view),"The area near the river is called ‘t Zuid, just a 10-minute walk to the old city center and well connected to public transport. <br />In the neighborhood, you can find supermarkets, banks, trendy bars, designer shops, and many restaurants only a few minutes away.<br />""'T Zuid"" is known is hip and unique atmosphere.",4277604,Sarah,t,2,2,t,t,"Antwerp, Flemish Region, Belgium",Sint-Andries,51.21347,4.39125,Entire apartment,Entire home/apt,6,,1.5 baths,2,3,"[""Stove"", ""Waterfront"", ""Oven"", ""Carbon monoxide alarm"", ""TV"", ""Hot water"", ""Refrigerator"", ""Hangers"", ""Dedicated workspace"", ""Baby monitor"", ""Hair dryer"", ""Cooking basics"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Room-darkening shades"", ""Washer"", ""Coffee maker"", ""Patio or balcony"", ""Babysitter recommendations"", ""Cable TV"", ""Heating"", ""Microwave"", ""First aid kit"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bathtub"", ""Free parking on premises"", ""Dishes and silverware"", ""Indoor fireplace"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning"", ""Dryer"", ""Fire extinguisher"", ""Iron"", ""Keypad"", ""Nespresso machine"", ""BBQ grill"", ""Smoke alarm"", ""High chair"", ""Sound system"", ""Children\u2019s books and toys"", ""Children\u2019s dinnerware""]",$196.00 ,1,1125,1,1,1125,1125,1,1125,t,0,0,0,0,62,7,0,95,10,9,10,10,10,9,f,2,2,0,0,0.92
842077,4 Cosy rooms near Central Station,,4396703,Son,t,4,4,t,t,,Amandus - Atheneum,51.2215,4.42606,Private room in house,Private room,7,,4.5 shared baths,4,0,"[""Washer"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Shampoo"", ""Stove"", ""First aid kit"", ""Fire extinguisher"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dryer"", ""Breakfast"", ""Hair dryer"", ""Smoke alarm"", ""Heating"", ""Wifi""]",$40.00 ,1,365,1,1,365,365,1,365,t,30,60,90,361,402,1,0,95,10,10,10,10,9,10,f,5,1,4,0,4.12
866701,4 Cosy rooms near Central Station,,4396703,Son,t,4,4,t,t,,Amandus - Atheneum,51.2215,4.42606,Private room in house,Private room,7,,4.5 shared baths,4,0,"[""TV"", ""Host greets you"", ""Breakfast"", ""Kitchen"", ""Heating"", ""Hot water"", ""Wifi"", ""Essentials""]",$40.00 ,1,365,1,1,365,365,1,365,t,1,1,1,1,284,2,0,96,10,10,10,10,9,10,f,5,1,4,0,2.94
890384,+++ blancoooHOME +++,,3185214,Annemie,t,3,3,t,t,,Centraal Station,51.21198,4.4269,Entire house,Entire home/apt,4,,1 bath,2,4,"[""TV"", ""Hot water"", ""Hangers"", ""Dedicated workspace"", ""Hair dryer"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""First aid kit"", ""Heating"", ""Luggage dropoff allowed"", ""Private entrance"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Long term stays allowed"", ""Fire extinguisher"", ""Iron"", ""Smoke alarm"", ""High chair"", ""Paid parking off premises"", ""Shampoo"", ""Children\u2019s books and toys"", ""Lockbox""]",$150.00 ,7,1125,7,7,1125,1125,7,1125,t,0,0,17,292,0,0,0,,,,,,,,f,4,4,0,0,
891355,"BorzeB&B, sleeping in the heart of Antwerp!",In the heart of the  old city centre. Probably the most central B&B in Antwerp.,1366391,Micheline,f,1,1,t,f,"Antwerp, Flemish Region, Belgium",Universiteitsbuurt,51.22043,4.40562,Private room in townhouse,Private room,2,,1 private bath,1,1,"[""Shampoo"", ""Free parking on premises"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Host greets you"", ""Heating"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hangers"", ""Dedicated workspace"", ""Hair dryer"", ""Essentials""]",$85.00 ,2,14,2,2,14,14,2,14,t,0,0,0,153,79,3,0,90,9,10,10,10,10,9,f,1,0,1,0,0.85
891884,aplace/antwerp: amazing suite & square view,"aplace/antwerp is situated in the middle of the old town of Antwerp. On the corner of ‘de Groenplaats’ and the Big Market, the designer shops and the ‘Kloosterstraat’, known for its antique en curiosa. The ideal spot to discover Antwerp!<br /><br />De Vrijdagmarkt is a quiet square that hasn’t been discovered by the big audience yet and ideal to meet local Antwerp people. <br /><br />Very unique and traditonal is the weekly auction on - fridays - on the ‘Vrijdagmarkt’. Here you can buy for a cheap price exclusive, retro and sometimes even valuable objects.<br /><br />On this square you’ll also find the world famous Plantin-Moretus museum. The only printing/publisher in the world from the Renaissances and baroque time which has kept remained.<br /><br />In the ‘Nationalestraat’ (= around the corner) and in the neighbourhood you can spend your money in various designer shops of famous Antwerp and international designers. (Dries Van Noten, Filippa K, Diane von Furstenberg, Paul Smith,, St",234077,Karin,f,4,4,t,t,"Antwerp, Flemish Region, Belgium",Historisch Centrum,51.21825,4.39901,Room in boutique hotel,Hotel room,2,,1 bath,1,1,"[""Hangers"", ""Essentials"", ""Fire extinguisher"", ""Smoke alarm"", ""Shampoo"", ""Kitchen"", ""Iron"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Coffee maker"", ""Paid parking off premises"", ""Cable TV"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Wifi"", ""Long term stays allowed"", ""Hair dryer"", ""Heating"", ""Carbon monoxide alarm"", ""TV""]",$157.00 ,1,1125,1,2,40,1125,2,96.6,t,0,0,0,0,10,0,0,97,10,10,10,10,10,8,t,4,2,0,0,0.54
